id,name
0,a video of a walking
1,a video of a running
2,a video of a leaping
3,a video of a jumping
4,a video of a skipping
5,a video of ballet feet
6,a video of ballet hand
7,a video of dance steps
8,a video of a bending
9,a video of a 360° turn
10,a video of a split
11,a video of a one leg stand
12,a video of a 30 sec. without stopping
13,a video of spirals
14,a video of a release
15,a video of circles
16,a video of mills
17,a video of a throw and catch
18,a video of a bouncing 3 times
19,a video of a roll and recover 3 feet
20,a video of a roll and spin
21,a video of a pass through
22,a video of a swinging
23,a video of a figure 8
24,a video of a jump through
25,a video of a hopping
26,a video of a sliding
27,a video of a swaying
28,a video of a turning
29,a video of a stretching
30,a video of a twisting
31,a video of a balance
32,a music suitable for walking
33,a music suitable for running
34,a music suitable for leaping
35,a music suitable for jumping
36,a music suitable for skipping
37,a music suitable for ballet feet movements
38,a music suitable for graceful hand movements
39,a music suitable for dance steps
40,a music suitable for bending
41,a music suitable for a 360° turn
42,a music suitable for a split
43,a music suitable for a one leg stand
44,a music suitable for a continuous 30 sec. performance
45,a music suitable for spiral movements
46,a music suitable for releasing movements
47,a music suitable for circular movements
48,a music suitable for rhythmic movements
49,a music suitable for throw and catch movements
50,a music suitable for bouncing movements
51,a music suitable for rolling movements
52,a music suitable for spinning movements
53,a music suitable for pass through movements
54,a music suitable for swinging movements
55,a music suitable for figure 8 movements
56,a music suitable for jumping through movements
57,a music suitable for hopping movements
58,a music suitable for sliding movements
59,a music suitable for swaying movements
60,a music suitable for turning movements
61,a music suitable for stretching movements
62,a music suitable for twisting movements
63,a music suitable for balancing movements
64,a video of bad action performance without fitting music
65,a video of bad action performance with fitting music
66,a video of poor action performance without fitting music
67,a video of poor action performance with fitting music
68,a video of fair action performance without fitting music
69,a video of fair action performance with fitting music
70,a video of good action performance without fitting music
71,a video of good action performance with fitting music
72,a video of excellent action performance without fitting music
73,a video of excellent action performance with fitting music
74,a video of perfect action performance without fitting music
75,a video of perfect action performance with fitting music
76,a video of bad action performance
77,a video of poor action performance
78,a video of fair action performance
79,a video of good action performance
80,a video of excellent action performance
81,a video of perfect action performance